	SampleID	Compartment	Cultivar	Site	Group	Type	Age	Phylum2	RA
381	RBL25S1	Rhizoplane	Hippophae rhamnoides	AL	RB.L25S	NA	25	Nitrospirae	0.001026817
382	RBL25S2	Rhizoplane	Hippophae rhamnoides	AL	RB.L25S	NA	25	Nitrospirae	0.000755247
383	RBL25S3	Rhizoplane	Hippophae rhamnoides	AL	RB.L25S	NA	25	Nitrospirae	0.001170898
384	RBL25S4	Rhizoplane	Hippophae rhamnoides	AL	RB.L25S	NA	25	Nitrospirae	0.000569288
389	RBL40S1	Rhizoplane	Hippophae rhamnoides	AL	RB.L40S	NA	40	Nitrospirae	0.001718258
390	RBL40S2	Rhizoplane	Hippophae rhamnoides	AL	RB.L40S	NA	40	Nitrospirae	0.001905947
391	RBL40S3	Rhizoplane	Hippophae rhamnoides	AL	RB.L40S	NA	40	Nitrospirae	0.00131138
392	RBL40S4	Rhizoplane	Hippophae rhamnoides	AL	RB.L40S	NA	40	Nitrospirae	0.001909029
397	RJL15S1	Rhizosphere	Hippophae rhamnoides	AL	RJ.L15S	NA	15	Nitrospirae	0.001336527
398	RJL15S2	Rhizosphere	Hippophae rhamnoides	AL	RJ.L15S	NA	15	Nitrospirae	0.000847902
399	RJL15S3	Rhizosphere	Hippophae rhamnoides	AL	RJ.L15S	NA	15	Nitrospirae	0.001074584
400	RJL15S4	Rhizosphere	Hippophae rhamnoides	AL	RJ.L15S	NA	15	Nitrospirae	0.000734018
405	RJL25S1	Rhizosphere	Hippophae rhamnoides	AL	RJ.L25S	NA	25	Nitrospirae	0.000712678
406	RJL25S2	Rhizosphere	Hippophae rhamnoides	AL	RJ.L25S	NA	25	Nitrospirae	0.001026434
407	RJL25S3	Rhizosphere	Hippophae rhamnoides	AL	RJ.L25S	NA	25	Nitrospirae	0.001790071
408	RJL25S4	Rhizosphere	Hippophae rhamnoides	AL	RJ.L25S	NA	25	Nitrospirae	0.000225644
413	RJL40S1	Rhizosphere	Hippophae rhamnoides	AL	RJ.L40S	NA	40	Nitrospirae	0.002329451
414	RJL40S2	Rhizosphere	Hippophae rhamnoides	AL	RJ.L40S	NA	40	Nitrospirae	0.00246289
415	RJL40S3	Rhizosphere	Hippophae rhamnoides	AL	RJ.L40S	NA	40	Nitrospirae	0.002750985
416	RJL40S4	Rhizosphere	Hippophae rhamnoides	AL	RJ.L40S	NA	40	Nitrospirae	0.002948755
421	RL15S1	Endosphere	Hippophae rhamnoides	AL	R.L15S	NA	15	Nitrospirae	2.68E-05
422	RL15S2	Endosphere	Hippophae rhamnoides	AL	R.L15S	NA	15	Nitrospirae	0.000698701
423	RL15S3	Endosphere	Hippophae rhamnoides	AL	R.L15S	NA	15	Nitrospirae	0.000447778
424	RL15S4	Endosphere	Hippophae rhamnoides	AL	R.L15S	NA	15	Nitrospirae	0.000949623
429	RL25S1	Endosphere	Hippophae rhamnoides	AL	R.L25S	NA	25	Nitrospirae	2.41E-05
430	RL25S2	Endosphere	Hippophae rhamnoides	AL	R.L25S	NA	25	Nitrospirae	6.75E-05
431	RL25S3	Endosphere	Hippophae rhamnoides	AL	R.L25S	NA	25	Nitrospirae	0.000292107
432	RL25S4	Endosphere	Hippophae rhamnoides	AL	R.L25S	NA	25	Nitrospirae	0.00026911
437	RL40S1	Endosphere	Hippophae rhamnoides	AL	R.L40S	NA	40	Nitrospirae	0.000667276
438	RL40S2	Endosphere	Hippophae rhamnoides	AL	R.L40S	NA	40	Nitrospirae	0.001152074
439	RL40S3	Endosphere	Hippophae rhamnoides	AL	R.L40S	NA	40	Nitrospirae	0.000528755
440	RL40S4	Endosphere	Hippophae rhamnoides	AL	R.L40S	NA	40	Nitrospirae	9.93E-05
441	L151	Soil	Soil	AL	L15	NA	15	Chloroflexi	0.0037319
442	L152	Soil	Soil	AL	L15	NA	15	Chloroflexi	0.004823894
443	L153	Soil	Soil	AL	L15	NA	15	Chloroflexi	0.003584769
444	L154	Soil	Soil	AL	L15	NA	15	Chloroflexi	0.003508051
445	L21	Soil	Soil	AL	L2	NA	2	Chloroflexi	0.012394729
446	L22	Soil	Soil	AL	L2	NA	2	Chloroflexi	0.012062861
447	L23	Soil	Soil	AL	L2	NA	2	Chloroflexi	0.010164475
448	L24	Soil	Soil	AL	L2	NA	2	Chloroflexi	0.000810892
449	L251	Soil	Soil	AL	L25	NA	25	Chloroflexi	0.00569561
450	L252	Soil	Soil	AL	L25	NA	25	Chloroflexi	0.00656244
451	L253	Soil	Soil	AL	L25	NA	25	Chloroflexi	0.00782203
