	SampleID	Compartment	Cultivar	Site	Group	Type	Age	Phylum2	RA
598	RG5C2	Endosphere	Stipa bungeana	GE	R.G5C	dominant	5	Chloroflexi	0.002896257
599	RG5C3	Endosphere	Stipa bungeana	GE	R.G5C	dominant	5	Chloroflexi	0.001321907
600	RG5C4	Endosphere	Stipa bungeana	GE	R.G5C	dominant	5	Chloroflexi	0.00266557
605	RJG0C1	Rhizosphere	Stipa bungeana	GE	RJ.G0C	dominant	0	Chloroflexi	0.001861649
606	RJG0C2	Rhizosphere	Stipa bungeana	GE	RJ.G0C	dominant	0	Chloroflexi	0.001414315
607	RJG0C3	Rhizosphere	Stipa bungeana	GE	RJ.G0C	dominant	0	Chloroflexi	0.001698762
608	RJG0C4	Rhizosphere	Stipa bungeana	GE	RJ.G0C	dominant	0	Chloroflexi	0.001882661
609	RJG15C1	Rhizosphere	Stipa bungeana	GE	RJ.G15C	non-d	15	Chloroflexi	0.002706432
610	RJG15C2	Rhizosphere	Stipa bungeana	GE	RJ.G15C	non-d	15	Chloroflexi	0.002195213
611	RJG15C3	Rhizosphere	Stipa bungeana	GE	RJ.G15C	non-d	15	Chloroflexi	0.002053388
612	RJG15C4	Rhizosphere	Stipa bungeana	GE	RJ.G15C	non-d	15	Chloroflexi	0.002138609
633	RJG5C1	Rhizosphere	Stipa bungeana	GE	RJ.G5C	dominant	5	Chloroflexi	0.000544959
634	RJG5C2	Rhizosphere	Stipa bungeana	GE	RJ.G5C	dominant	5	Chloroflexi	0.001109774
635	RJG5C3	Rhizosphere	Stipa bungeana	GE	RJ.G5C	dominant	5	Chloroflexi	0.002225952
